GENE	DIST
ATAD3C	204
ATAD3B	176
ATAD3A	141
TMEM240	107
SSU72	73
MIB2	36
MMP23B	15
MMP23A	15
CDK11B	11
SLC35E2B	22
CDK11A	13
SLC35E2	32
NADK	6
GNB1	13
CALML6	10
TMEM52	20
CFAP74	37
GABRD	19
PRKCZ	42
C1ORF86	7
SKI	32
MORN1	6
RER1	8
PEX10	4
PLCH2	50
PANK4	29
HES5	19
TNFRSF14	4
FAM213B	36
MMEL1	82
ACTRT2	12
LINC00982	66
PRDM16	65
ARHGEF16	25
MEGF6	8
MIR551A	63
TPRG1L	9
WRAP73	36
TP73	72
TP73-AS1	131
CCDC27	132
SMIM1	152
LRRC47	182
NPHP4	61
KCNAB2	33
WRB	67
RPL22	44
RNF207	45
ICMT	7
LINC00337	15
HES3	7
GPR153	16
ACOT7	9
HES2	19
ESPN	18
TNFRSF25	10
PLEKHG5	24
NOL9	7
TAS1R1	3
ZBTB48	27
KLHL21	48
PHF13	59
THAP3	68
DNAJC11	28
CAMTA1	63
VAMP3	23
PER3	36
UTS2	50
TNFRSF9	39
PARK7	22
ERRFI1	4
SLC45A1	8
RERE	35
ENO1	27
ENO1-AS1	25
CA6	94
SLC2A7	91
SLC2A5	39
GPR157	21
MIR34A	46
H6PD	38
SPSB1	8
SLC25A33	35
TMEM201	21
PIK3CD-AS1	32
PIK3CD-AS2	69
PIK3CD	65
CLSTN1	38
CTNNBIP1	33
LZIC	2
NMNAT1	3
MIR5697	27
RBP7	38
UBE4B	8
KIF1B	173
RNU6-2	81
PGD	20
APITD1	2
CORT	22
DFFA	20
PEX14	24
CASZ1	77
C1ORF127	40
TARDBP	25
MASP2	15
SRMS	26
EXOSC10	69
MTOR-AS1	111
ANGPTL7	157
PTCHD2	168
FBXO2	3
FBXO44	5
FBXO6	9
MAD2L2	26
DRAXIN	30
AGTRAP	23
C1ORF167	45
MTHFR	39
CLCN6	37
NPPA-AS1	9
NPPA	10
NPPB	21
KIAA2013	38
PLOD1	41
MFN2	92
MIIP	109
TNFRSF8	65
TNFRSF1B	40
VPS13D	22
SNORA59A	150
SNORA59B	152
DHRS3	36
AADACL4	12
AADACL3	56
C1ORF158	32
PRAMEF12	3
PRAMEF1	15
PRAMEF11	54
HNRNPCL4	71
HNRNPCL3	71
HNRNPCL1	78
PRAMEF2	82
PRAMEF4	113
PRAMEF7	141
PRAMEF8	139
PRAMEF6	176
LRRC38	155
PDPN	87
PRDM2	19
TMEM51-AS1	24
TMEM51	24
C1ORF195	46
FHAD1	46
EFHD2	17
CTRC	10
CELA2A	29
CELA2B	52
CASP9	96
DNAJC16	99
AGMAT	103
DDI2	73
RSC1A1	33
PLEKHM2	2
SLC25A34	51
FBLIM1	32
SPEN	64
ZBTB17	21
HSPB7	14
CLCNKA	13
CLCNKB	14
FAM131C	7
EPHA2	34
ARHGEF19	28
RSG1	9
FBXO42	11
SZRD1	11
SPATA21	76
NECAP2	70
CROCCP3	20
NBPF1	9
CROCCP2	22
MST1P2	35
FAM231A	62
FAM231C	66
ESPNP	110
MST1L	160
CROCC	37
MFAP2	25
ATP13A2	8
SDHB	10
PADI2	7
PADI1	28
PADI3	21
PADI4	82
PADI6	131
RCC2	62
ARHGEF10L	39
ACTL8	99
IGSF21	14
KLHDC7A	110
PAX7	30
TAS1R2	7
ALDH4A1	9
MIR1290	16
IFFO2	48
UBR4	131
EMC1	89
MRTO4	91
AKR7L	69
AKR7A3	50
AKR7A2	27
PQLC2	27
CAPZB	94
MINOS1	18
MINOS1-NBL1	20
NBL1	8
HTR6	3
TMCO4	114
RNF186	101
OTUD3	34
PLA2G2E	8
PLA2G2A	68
PLA2G5	86
PLA2G2D	37
PLA2G2F	23
PLA2G2C	24
UBXN10-AS1	23
UBXN10	27
VWA5B1	87
LINC01141	58
CAMK2N1	7
MUL1	10
FAM43B	34
CDA	53
PINK1	8
MIR6084	8
PINK1-AS	16
DDOST	21
KIF17	22
SH2D5	34
HP1BP3	92
EIF4G3	32
ECE1	18
NBPF3	29
ALPL	0
RAP1GAP	13
USP48	76
LDLRAD2	47
HSPG2	34
CELA3B	13
CELA3A	16
LINC00339	19
CDC42	44
WNT4	17
ZBTB40	40
EPHA8	35
C1QA	9
C1QC	5
C1QB	9
EPHB2	45
LACTBL1	15
KDM1A	45
LUZP1	20
HTR1D	13
LINC01355	100
