GENE	DIST
TNFRSF14	198
FAM213B	167
MMEL1	119
TTC34	22
ARHGEF16	25
MEGF6	184
MIR551A	133
TPRG1L	195
VAMP3	34
PER3	21
UTS2	49
TNFRSF9	139
PARK7	155
SLC45A1	87
SLC2A5	191
GPR157	134
MIR34A	112
H6PD	31
SPSB1	26
SLC25A33	43
TMEM201	92
PIK3CD-AS1	160
PIK3CD-AS2	193
PIK3CD	193
AGTRAP	169
C1ORF167	143
MTHFR	97
CLCN6	99
NPPA-AS1	65
NPPA	56
NPPB	45
KIAA2013	22
PLOD1	28
MFN2	74
MIIP	86
TNFRSF8	42
TNFRSF1B	61
VPS13D	5
SNORA59A	98
SNORA59B	98
DHRS3	7
AADACL4	18
AADACL3	90
C1ORF158	120
PRAMEF12	148
PRAMEF1	165
TMEM51-AS1	115
TMEM51	115
C1ORF195	95
FHAD1	22
EFHD2	140
CTRC	168
CELA2A	187
HSPB7	168
CLCNKA	167
CLCNKB	140
FAM131C	113
EPHA2	31
ARHGEF19	25
RSG1	49
FBXO42	164
SZRD1	177
SPATA21	150
NECAP2	148
CROCCP3	94
NBPF1	26
CROCCP2	43
MST1P2	43
FAM231A	16
FAM231C	16
ESPNP	22
MST1L	66
PADI3	160
PADI4	101
PADI6	37
RCC2	32
ARHGEF10L	130
UBR4	137
EMC1	95
MRTO4	97
AKR7L	73
AKR7A3	58
AKR7A2	35
PQLC2	37
CAPZB	138
PLA2G5	129
PLA2G2D	77
PLA2G2F	60
PLA2G2C	20
UBXN10-AS1	11
UBXN10	13
VWA5B1	91
ECE1	191
NBPF3	99
ALPL	30
RAP1GAP	131
MYOM3	85
IL22RA1	54
IFNLR1	10
GRHL3	70
STPG1	26
NIPAL3	26
RCAN3	113
NCMAP	166
MAN1C1	182
MTFR1L	20
AUNIP	61
PAQR7	73
STMN1	108
PAFAH2	200
ARID1A	93
PIGV	1
ZDHHC18	37
SFN	73
GPN2	102
GPATCH3	112
NR0B2	126
NUDC	132
KDF1	147
TRNP1	115
FAM46B	94
SLC9A1	47
WDTC1	125
MAP3K6	200
FCN3	192
CD164L2	184
GPR3	176
WASF2	77
AHDC1	36
FGR	67
IFI6	104
FAM76A	156
SCMH1	26
FOXO6	68
EDN2	56
PTBP2	128
LINC01307	196
VAV3	3
VAV3-AS1	1
SLC25A24	78
NBPF4	122
MIR197	174
GNAT2	158
AMPD2	153
GSTM4	117
GSTM2	105
GSTM1	85
GSTM5	61
GSTM3	30
EPS8L3	7
CSF1	72
AHCYL1	17
STRIP1	48
ALX3	89
LINC01397	99
UBL4B	129
SLC6A17	167
ST7L	51
CAPZA1	53
MOV10	0
RHOC	36
PPM1J	43
FAM19A3	47
LINC01356	179
ATP1A1	200
ATP1A1-AS1	152
CD58	0
IGSF3	95
MIR320B1	98
C1ORF137	120
CD2	181
FAM72B	86
HIST2H2BA	19
FCGR1B	11
SRGAP2B	181
SRGAP2C	181
PDE4DIP	21
SEC22B	29
NOTCH2NL	83
NBPF10	132
HFE2	12
TXNIP	13
POLR3GL	46
ANKRD34A	44
LIX1L	51
RBM8A	78
GNRHR2	68
PEX11B	69
ITGA10	61
ANKRD35	36
PIAS3	10
NUDT17	5
POLR3C	26
RNF115	24
CD160	1
PDZK1	11
GPR89A	113
FMO5	166
LINC00624	125
BCL9	147
NBPF11	99
RNVU1-19	11
NBPF26	102
PPIAL4D	41
PPIAL4E	41
PPIAL4F	41
NBPF14	102
NBPF25P	94
NBPF15	24
FAM231D	7
HIST2H3PS2	26
PPIAL4A	102
PPIAL4C	102
HIST2H2BF	19
FCGR1A	11
HIST2H3D	21
HIST2H4A	38
HIST2H4B	38
HIST2H3A	48
HIST2H3C	48
HIST2H2AA4	50
HIST2H2AA4	50
HIST2H2BE	94
HIST2H2AC	92
HIST2H2AB	95
BOLA1	105
SV2A	125
SF3B4	136
MTMR11	144
TARS2	136
ECM1	115
FALEC	107
ADAMTSL4	74
ADAMTSL4-AS1	46
MCL1	41
ENSA	8
GOLPH3L	75
HORMAD1	99
CTSS	144
CTSK	173
ARNT	104
