GENE	DIST
SAMD11	200
NOC2L	159
KLHL17	166
PLEKHN1	156
PERM1	138
HES4	122
ISG15	107
AGRN	100
RNF223	46
C1ORF159	2
LINC01342	20
MIR200B	48
MIR200A	49
MIR429	50
TTLL10	53
TNFRSF18	45
TNFRSF4	40
SDF4	18
B3GALT6	24
FAM132A	3
UBE2J2	31
SCNN1D	29
ACAP3	63
PUSL1	59
CPSF3L	82
CPTP	80
TAS1R3	80
DVL1	100
MXRA8	112
AURKAIP1	126
CCNL2	150
MRPL20	164
ANKRD65	178
TMEM88B	175
VWA1	184
ATAD3C	203
ATAD3B	187
ATAD3A	146
TMEM240	114
SSU72	80
MIB2	39
MMP23B	22
MMP23A	26
CDK11B	9
SLC35E2B	26
CDK11A	13
SLC35E2	30
NADK	7
GNB1	13
CALML6	13
TMEM52	20
CFAP74	100
GABRD	116
PRKCZ	127
C1ORF86	4
SKI	26
MORN1	13
RER1	13
PEX10	2
PLCH2	65
PANK4	15
HES5	13
TNFRSF14	6
FAM213B	6
MMEL1	51
TTC34	195
ARHGEF16	11
MEGF6	5
MIR551A	6
TPRG1L	9
WRAP73	30
TP73	72
TP73-AS1	129
CCDC27	130
SMIM1	150
LRRC47	178
NPHP4	82
KCNAB2	107
WRB	70
RPL22	52
RNF207	44
ICMT	14
LINC00337	16
HES3	10
GPR153	16
ACOT7	21
HES2	20
ESPN	21
TNFRSF25	17
PLEKHG5	15
NOL9	70
TAS1R1	75
ZBTB48	65
KLHL21	47
PHF13	38
THAP3	22
DNAJC11	19
CAMTA1	13
VAMP3	23
PER3	32
UTS2	54
TNFRSF9	41
PARK7	58
ERRFI1	6
SLC45A1	4
RERE	23
ENO1	41
ENO1-AS1	39
CA6	26
SLC2A7	21
SLC2A5	31
GPR157	19
MIR34A	44
H6PD	38
SPSB1	8
SLC25A33	34
TMEM201	17
PIK3CD-AS1	32
PIK3CD-AS2	1
PIK3CD	7
CLSTN1	42
CTNNBIP1	42
LZIC	75
NMNAT1	69
MIR5697	99
RBP7	123
UBE4B	159
RNU6-2	126
PGD	30
APITD1	6
CORT	22
DFFA	20
PEX14	22
CASZ1	73
C1ORF127	38
TARDBP	25
MASP2	12
SRMS	23
EXOSC10	63
MTOR	21
MTOR-AS1	105
ANGPTL7	58
UBIAD1	33
PTCHD2	159
FBXO2	3
FBXO44	9
FBXO6	7
MAD2L2	26
DRAXIN	28
AGTRAP	17
C1ORF167	43
MTHFR	37
CLCN6	41
NPPA-AS1	3
NPPA	8
NPPB	19
KIAA2013	40
PLOD1	33
MFN2	13
MIIP	54
TNFRSF8	66
TNFRSF1B	44
VPS13D	21
SNORA59A	110
SNORA59B	108
DHRS3	6
AADACL4	26
AADACL3	103
C1ORF158	131
PRAMEF12	162
PRAMEF1	179
LRRC38	157
PDPN	89
PRDM2	24
KAZN	33
TMEM51-AS1	38
TMEM51	37
C1ORF195	53
FHAD1	30
EFHD2	23
CTRC	13
CELA2A	31
CELA2B	51
CASP9	105
DNAJC16	99
AGMAT	128
DDI2	92
RSC1A1	51
PLEKHM2	29
SLC25A34	30
FBLIM1	14
SPEN	80
ZBTB17	15
HSPB7	37
CLCNKA	34
CLCNKB	30
FAM131C	3
EPHA2	14
ARHGEF19	21
RSG1	6
FBXO42	9
SZRD1	7
SPATA21	31
NECAP2	35
CROCCP3	16
NBPF1	10
CROCCP2	4
MST1P2	17
FAM231A	40
FAM231C	36
ESPNP	17
MST1L	59
CROCC	12
