GENE	DIST
FAM87B	12
LINC00115	18
LINC01128	22
FAM41C	70
SAMD11	117
NOC2L	113
KLHL17	110
PLEKHN1	104
PERM1	88
HES4	68
ISG15	61
AGRN	52
RNF223	6
C1ORF159	9
LINC01342	3
MIR200B	30
MIR200A	33
MIR429	30
TTLL10	39
TNFRSF18	63
TNFRSF4	60
SDF4	36
B3GALT6	42
FAM132A	23
UBE2J2	10
SCNN1D	6
ACAP3	0
PUSL1	2
CPSF3L	18
CPTP	14
TAS1R3	20
DVL1	46
MXRA8	56
AURKAIP1	66
CCNL2	90
MRPL20	102
ANKRD65	118
TMEM88B	121
VWA1	128
ATAD3C	124
ATAD3B	100
ATAD3A	60
TMEM240	34
SSU72	6
MIB2	49
MMP23B	65
MMP23A	62
CDK11B	27
SLC35E2B	9
CDK11A	28
SLC35E2	49
NADK	77
GNB1	35
CALML6	15
TMEM52	5
CFAP74	81
GABRD	98
PRKCZ	154
TNFRSF14	198
FAM213B	173
MMEL1	121
TTC34	26
ARHGEF16	27
MEGF6	70
MIR551A	17
TPRG1L	81
WRAP73	108
TP73	141
TP73-AS1	176
CCDC27	173
SMIM1	146
LRRC47	124
CEP104	62
DFFB	62
C1ORF174	17
LINC01134	21
LINC01346	10
AJAP1	19
WRB	57
RPL22	40
RNF207	31
ICMT	6
LINC00337	4
HES3	14
GPR153	29
ACOT7	157
HES2	187
ESPN	188
VAMP3	34
PER3	23
UTS2	49
TNFRSF9	145
PARK7	155
SLC45A1	38
SLC2A5	197
GPR157	136
MIR34A	112
H6PD	31
SPSB1	22
SLC25A33	45
TMEM201	93
PIK3CD-AS1	19
PIK3CD-AS2	13
PIK3CD	15
CLSTN1	152
CASZ1	17
C1ORF127	172
TARDBP	200
PTCHD2	40
FBXO2	142
FBXO44	140
FBXO6	150
MAD2L2	171
DRAXIN	177
AGTRAP	173
C1ORF167	149
MTHFR	99
CLCN6	103
NPPA-AS1	65
NPPA	62
NPPB	49
KIAA2013	26
PLOD1	32
MFN2	74
MIIP	82
TNFRSF8	32
TNFRSF1B	61
VPS13D	7
SNORA59A	54
SNORA59B	52
DHRS3	13
AADACL4	20
AADACL3	44
C1ORF158	74
PRAMEF12	98
PRAMEF1	84
PRAMEF11	44
HNRNPCL4	25
HNRNPCL3	25
HNRNPCL1	25
PRAMEF2	25
PRAMEF4	6
PRAMEF7	4
PRAMEF8	4
PRAMEF6	25
PRAMEF25	27
PRAMEF26	23
PRAMEF5	18
HNRNPCL2	2
PRAMEF18	155
PRAMEF15	45
PRAMEF13	80
PRAMEF14	82
PRAMEF19	103
PRAMEF17	121
PRAMEF20	142
LRRC38	19
PDPN	35
PRDM2	36
KAZN	143
TMEM51-AS1	119
TMEM51	121
C1ORF195	95
FHAD1	24
EFHD2	110
CTRC	144
CELA2A	157
CELA2B	182
ZBTB17	125
HSPB7	84
CLCNKA	83
CLCNKB	56
FAM131C	29
EPHA2	33
ARHGEF19	29
RSG1	36
FBXO42	90
SZRD1	99
SPATA21	76
NECAP2	74
CROCCP3	16
NBPF1	28
CROCCP2	28
MST1P2	19
FAM231A	6
FAM231C	12
ESPNP	22
MST1L	15
CROCC	46
MFAP2	107
ATP13A2	136
SDHB	178
PADI3	164
PADI4	107
PADI6	39
RCC2	34
ARHGEF10L	132
ACTL8	170
IGSF21	44
KLHDC7A	145
PAX7	3
TAS1R2	104
ALDH4A1	147
MIR1290	143
IFFO2	200
UBR4	141
EMC1	99
MRTO4	101
AKR7L	79
AKR7A3	60
AKR7A2	37
PQLC2	37
CAPZB	131
MINOS1	26
MINOS1-NBL1	28
NBL1	29
HTR6	45
TMCO4	182
RNF186	199
PLA2G5	129
PLA2G2D	77
PLA2G2F	64
PLA2G2C	20
UBXN10-AS1	13
UBXN10	19
VWA5B1	93
KIF17	171
SH2D5	158
HP1BP3	106
EIF4G3	100
MIR1256	83
ECE1	151
NBPF3	63
ALPL	9
RAP1GAP	131
HSPG2	160
CELA3B	126
CELA3A	97
LINC00339	78
CDC42	48
WNT4	51
ZBTB40	83
EPHA8	37
C1QA	106
C1QC	114
C1QB	125
EPHB2	183
PNRC2	179
SRSF10	161
MYOM3	31
IL22RA1	11
IFNLR1	16
GRHL3	74
STPG1	20
NIPAL3	22
RCAN3	105
NCMAP	162
SRRM1	178
CLIC4	80
RUNX3	151
SYF2	61
RSRP1	76
RHD	96
TMEM50A	162
RHCE	186
LDLRAP1	65
MAN1C1	7
MTFR1L	24
AUNIP	61
PAQR7	73
STMN1	112
PAFAH2	204
LIN28A	178
DHDDS	157
HMGN2	123
RPS6KA1	50
MIR1976	40
ARID1A	95
PIGV	1
ZDHHC18	41
SFN	77
GPN2	106
GPATCH3	112
NR0B2	130
NUDC	138
KDF1	149
TRNP1	119
FAM46B	94
SLC9A1	49
WDTC1	44
TMEM222	42
ACTG1P20	50
SYTL1	64
MAP3K6	40
FCN3	36
CD164L2	24
GPR3	22
WASF2	77
AHDC1	38
FGR	69
IFI6	104
FAM76A	162
SCMH1	30
FOXO6	72
EDN2	62
EFCAB14	169
CYP4B1	97
CYP4Z2P	14
CYP4A11	59
CYP4X1	77
CYP4Z1	4
CYP4A22	63
LINC00853	100
PDZK1IP1	111
TAL1	156
LINC01362	201
LINC01361	117
BCAR3	43
MIR760	43
DNTTIP2	13
GCLM	25
RWDD3	120
PTBP2	41
DPYD-AS1	138
DPYD	88
DPYD-AS2	28
PALMD	67
FRRS1	64
AGL	24
SLC35A3	145
SASS6	41
TRMT13	37
LRRC39	11
DBT	85
RTCA-AS1	103
RTCA	99
MIR553	116
CDC14A	127
GPR88	59
LINC01349	170
S1PR1	13
LINC01307	27
OLFM3	52
DNAJA1P5	52
COL11A1	23
RNPC3	36
AMY2B	48
ACTG1P4	37
AMY2A	17
AMY1C	17
AMY1A	17
AMY1B	23
PRMT6	33
NTNG2	116
VAV3	9
VAV3-AS1	7
SLC25A24	33
NBPF4	14
FAM102B	19
HENMT1	14
PRPF38B	13
FNDC7	11
STXBP3	47
AKNAD1	5
SPATA42	8
