GENE	DIST
SAMD11	194
NOC2L	159
KLHL17	160
PLEKHN1	154
PERM1	136
HES4	118
ISG15	107
AGRN	100
RNF223	44
C1ORF159	2
LINC01342	16
MIR200B	46
MIR200A	47
MIR429	48
TTLL10	53
TNFRSF18	88
TNFRSF4	95
SDF4	113
B3GALT6	111
FAM132A	128
UBE2J2	155
SCNN1D	159
ACAP3	189
PUSL1	187
MIB2	162
MMP23B	145
MMP23A	145
CDK11B	55
SLC35E2B	87
CDK11A	55
SLC35E2	34
NADK	1
GNB1	111
CALML6	132
TMEM52	139
CFAP74	188
GABRD	175
PRKCZ	121
C1ORF86	2
SKI	26
MORN1	9
RER1	7
PEX10	2
PLCH2	59
PANK4	13
HES5	9
TNFRSF14	14
FAM213B	0
MMEL1	47
TTC34	189
ARHGEF16	5
MEGF6	51
MIR551A	0
TPRG1L	63
WRAP73	90
TP73	128
TP73-AS1	187
CCDC27	190
NPHP4	76
KCNAB2	107
WRB	66
RPL22	46
RNF207	42
ICMT	10
LINC00337	12
HES3	4
GPR153	14
ACOT7	98
HES2	64
ESPN	61
TNFRSF25	17
PLEKHG5	13
NOL9	70
TAS1R1	69
ZBTB48	65
KLHL21	41
PHF13	32
THAP3	20
DNAJC11	19
CAMTA1	13
VAMP3	122
PER3	119
UTS2	48
TNFRSF9	41
PARK7	58
ERRFI1	4
SLC45A1	2
RERE	23
ENO1	37
ENO1-AS1	35
CA6	42
SLC2A7	19
SLC2A5	29
GPR157	17
MIR34A	40
H6PD	36
SPSB1	4
SLC25A33	28
TMEM201	15
PIK3CD-AS1	28
PIK3CD-AS2	38
PIK3CD	38
CLSTN1	38
CTNNBIP1	123
LZIC	156
NMNAT1	154
MIR5697	178
RNU6-2	124
PGD	24
APITD1	2
CORT	16
DFFA	18
PEX14	18
CASZ1	69
C1ORF127	38
TARDBP	25
MASP2	10
SRMS	23
EXOSC10	63
MTOR	21
MTOR-AS1	99
ANGPTL7	54
UBIAD1	29
PTCHD2	155
FBXO2	1
FBXO44	3
FBXO6	5
MAD2L2	24
DRAXIN	33
AGTRAP	77
C1ORF167	81
MTHFR	35
CLCN6	37
NPPA-AS1	3
NPPA	6
NPPB	17
KIAA2013	34
PLOD1	33
MFN2	11
MIIP	50
TNFRSF8	94
TNFRSF1B	41
VPS13D	21
SNORA59A	108
SNORA59B	108
DHRS3	0
AADACL4	26
AADACL3	97
C1ORF158	127
PRAMEF12	156
PRAMEF1	173
LRRC38	151
PDPN	83
PRDM2	22
KAZN	29
TMEM51-AS1	117
TMEM51	118
C1ORF195	98
FHAD1	24
EFHD2	17
CTRC	11
CELA2A	29
CELA2B	49
CASP9	99
DNAJC16	99
AGMAT	160
DDI2	190
SPEN	141
ZBTB17	11
HSPB7	31
CLCNKA	32
CLCNKB	59
FAM131C	86
EPHA2	28
ARHGEF19	15
RSG1	2
FBXO42	7
SZRD1	5
SPATA21	77
NECAP2	78
CROCCP3	132
NBPF1	16
CROCCP2	0
MST1P2	13
FAM231A	34
FAM231C	34
ESPNP	15
MST1L	59
CROCC	12
MFAP2	13
ATP13A2	33
SDHB	5
PADI2	5
PADI1	31
PADI3	9
PADI4	28
PADI6	35
RCC2	32
ARHGEF10L	59
ACTL8	148
IGSF21	8
KLHDC7A	118
PAX7	28
TAS1R2	39
ALDH4A1	2
MIR1290	7
IFFO2	51
UBR4	129
EMC1	88
MRTO4	90
AKR7L	65
AKR7A3	51
AKR7A2	27
PQLC2	29
CAPZB	145
NBL1	166
HTR6	146
TMCO4	9
RNF186	5
OTUD3	34
PLA2G2E	8
PLA2G2A	64
PLA2G5	86
PLA2G2D	35
PLA2G2F	17
PLA2G2C	22
UBXN10-AS1	23
UBXN10	25
VWA5B1	78
LINC01141	66
CAMK2N1	8
MUL1	13
FAM43B	25
CDA	61
PINK1	106
MIR6084	106
PINK1-AS	127
DDOST	136
KIF17	193
EIF4G3	21
ECE1	19
NBPF3	73
ALPL	142
RAP1GAP	11
USP48	125
LDLRAD2	152
HSPG2	190
CELA3B	152
CELA3A	127
LINC00339	104
CDC42	76
WNT4	13
ZBTB40	174
EPHA8	83
C1QA	10
C1QC	3
C1QB	3
EPHB2	61
LACTBL1	9
KDM1A	42
LUZP1	16
HTR1D	9
LINC01355	68
HNRNPR	53
ZNF436	29
ZNF436-AS1	30
TCEA3	27
ASAP3	10
E2F2	13
ID3	14
MDS2	9
RPL11	5
PITHD1	21
LYPLA2	34
GALE	44
HMGCL	39
FUCA1	3
PCDHA6	48
MIR378F	62
PNRC2	92
SRSF10	115
RCAN3	129
NCMAP	75
SRRM1	11
CLIC4	53
RUNX3	64
SYF2	27
RSRP1	42
RHD	65
TMEM50A	131
MTFR1L	76
AUNIP	35
PAQR7	23
STMN1	11
PAFAH2	0
EXTL1	19
SLC30A2	46
TRIM63	37
PDIK1L	4
FAM110D	12
ZNF593	22
CNKSR1	30
CATSPER4	43
CEP85	87
SH3BGRL3	42
UBXN11	1
CD52	4
AIM1L	34
ZNF683	52
LIN28A	88
DHDDS	110
HMGN2	134
RPS6KA1	63
MIR1976	52
ARID1A	74
PIGV	3
ZDHHC18	14
SFN	51
GPN2	80
GPATCH3	90
NR0B2	104
NUDC	109
KDF1	150
